"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 29 16:17:07 BST 2020","Wed Apr 29 16:17:09 BST 2020","1644","","","","","","Browse acutesttraining PUBLICA‌-1 issue (should fail)",""
"passed","Wed Apr 29 16:17:04 BST 2020","Wed Apr 29 16:17:07 BST 2020","2943","","","","","","Browse acutesttraining PUBLICA‌-1 issue",""
